loc_rowid,pl_name,hostname,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,sy_dist,sy_disterr1,sy_disterr2
3049,Kepler-1763 b,Kepler-1763,1,1,2021,1.48028004,,,0,0.025700,,,0,1.147,,,0,1.59000,,,0,756.4860000,9.7675000,-9.7675000
3050,Kepler-1764 b,Kepler-1764,1,1,2021,70.46829987,,,0,0.351200,,,0,4.555,,,0,18.80000,,,0,1542.4800000,61.7000000,-61.7000000
3051,Kepler-1765 b,Kepler-1765,1,1,2021,10.41889954,,,0,0.091700,,,0,2.495,,,0,6.78000,,,0,764.4560000,13.4230000,-12.9750000
3052,Kepler-1766 b,Kepler-1766,1,1,2021,105.01499940,,,0,0.422900,,,0,2.279,,,0,5.81000,,,0,501.2290000,4.9460000,-4.8520000
3053,Kepler-1767 b,Kepler-1767,1,1,2021,59.65829849,,,0,0.287300,,,0,3.013,,,0,9.34000,,,0,820.5060000,19.9410000,-19.9410000
3054,Kepler-1768 b,Kepler-1768,1,1,2021,15.13589954,,,0,0.128600,,,0,2.233,,,0,5.62000,,,0,632.7660000,5.9560000,-5.8490000
3055,Kepler-1769 b,Kepler-1769,1,1,2021,89.19349670,,,0,0.398700,,,0,4.465,,,0,18.20000,,,0,438.4120000,4.5000000,-4.4120000
3056,Kepler-177 b,Kepler-177,1,2,2013,36.86010000,0.00150000,-0.00140000,0,0.218400,,,0,3.500,0.190,-0.150,0,5.84000,0.86000,-0.82000,0,1435.4400000,42.1000000,-39.8100000
3057,Kepler-177 c,Kepler-177,1,2,2013,49.40926000,0.00078000,-0.00077000,0,0.265500,,,0,8.730,0.360,-0.340,0,14.70000,2.70000,-2.50000,0,1435.4400000,42.1000000,-39.8100000
3058,Kepler-1770 b,Kepler-1770,1,1,2021,16.84189987,,,0,0.126100,,,0,2.841,,,0,8.45000,,,0,582.9420000,5.8610000,-5.7480000
3059,Kepler-1771 b,Kepler-1771,1,1,2021,88.64399719,,,0,0.381500,,,0,4.055,,,0,15.50000,,,0,565.7520000,,
3060,Kepler-1772 b,Kepler-1772,1,1,2021,3.21509004,,,0,0.041800,,,0,2.686,,,0,7.68000,,,0,871.5640000,12.5020000,-12.1600000
3061,Kepler-1773 b,Kepler-1773,1,1,2021,40.80970001,,,0,0.248900,,,0,3.505,,,0,12.10000,,,0,681.2550000,9.8400000,-9.5680000
3062,Kepler-1774 b,Kepler-1774,1,1,2021,59.77080154,,,0,0.309600,,,0,3.182,,,0,10.20000,,,0,816.5920000,11.8120000,-11.8120000
3063,Kepler-1775 b,Kepler-1775,1,1,2021,85.65399933,,,0,0.398600,,,0,3.648,,,0,12.90000,,,0,657.0230000,6.0880000,-5.9780000
3064,Kepler-1776 b,Kepler-1776,1,1,2021,35.01190186,,,0,0.212400,,,0,2.612,,,0,7.33000,,,0,690.3360000,6.7705000,-6.7705000
3065,Kepler-1777 b,Kepler-1777,1,1,2021,12.18420029,,,0,0.103100,,,0,2.132,,,0,5.19000,,,0,619.1460000,6.1395000,-6.1395000
